trade_id,pair,strategy,side,entry_time,exit_time,entry_price,exit_price,size,pnl_usdt,pnl_percent,fee_usdt,mae_percent,mfe_percent,holding_bars,entry_reason,exit_reason
BT_1771631542589_0,BTC/USDT,SMA_5_20,short,2026-01-11T21:00:00+00:00,2026-01-12T00:00:00+00:00,90757.06,91258.65,0.001,-182.5173,-5.526732575956036,182.01571,-3.137276593137723,5.741261340990968,3,signal,signal
BT_1771631542590_1,BTC/USDT,SMA_5_20,long,2026-01-12T00:00:00+00:00,2026-01-12T10:00:00+00:00,91258.65,90433.46,0.001,-182.5173,-9.042320919715422,181.69211,-9.530712978988785,13.821155583607721,10,signal,signal
BT_1771631542591_2,BTC/USDT,SMA_5_20,short,2026-01-12T10:00:00+00:00,2026-01-12T17:00:00+00:00,90433.46,91522.83,0.001,-183.04566000000003,-12.046094443361952,181.95629000000002,-20.99377818785208,3.3728666358669024,7,signal,signal
BT_1771631542599_3,BTC/USDT,SMA_5_20,long,2026-01-12T17:00:00+00:00,2026-01-15T04:00:00+00:00,91522.83,96316.27,0.001,-183.04566,52.37425459855209,187.8391,-6.3878050973730245,69.9460451561649,59,signal,signal
BT_1771631542600_4,BTC/USDT,SMA_5_20,short,2026-01-15T04:00:00+00:00,2026-01-15T12:00:00+00:00,96316.27,96981.65,0.001,-193.9633,-6.908282473978593,193.29792,-9.106145825622114,3.772778991545298,8,signal,signal
BT_1771631542600_5,BTC/USDT,SMA_5_20,long,2026-01-15T12:00:00+00:00,2026-01-15T14:00:00+00:00,96981.65,96063.43,0.001,-193.96329999999998,-9.467976673937814,193.04507999999998,-4.706148018723016,0.5293784958289642,2,signal,signal
BT_1771631542601_6,BTC/USDT,SMA_5_20,short,2026-01-15T14:00:00+00:00,2026-01-15T16:00:00+00:00,96063.43,96738.51,0.001,-193.47702,-7.027440098693143,192.80194,-11.467423139065572,6.532350552129874,2,signal,signal
BT_1771631542602_7,BTC/USDT,SMA_5_20,long,2026-01-15T16:00:00+00:00,2026-01-15T18:00:00+00:00,96738.51,95835.0,0.001,-193.47701999999998,-9.339713832681472,192.57351,-4.814938745696968,4.3880146593120495,2,signal,signal
BT_1771631542605_8,BTC/USDT,SMA_5_20,short,2026-01-15T18:00:00+00:00,2026-01-16T23:00:00+00:00,95835.0,95550.94,0.001,-191.10188,2.964052799081731,191.38594,-8.509521573537796,16.085355037303632,29,signal,signal
BT_1771631542606_9,BTC/USDT,SMA_5_20,long,2026-01-16T23:00:00+00:00,2026-01-17T08:00:00+00:00,95550.94,95247.51,0.001,-191.10188000000002,-3.1755836206321733,190.79845,-5.329513241837342,0.28529285007551747,9,signal,signal
